station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish
Day 2,Slinky pots,Day 2_106_113,113,8
Day 2,Slinky pots,Day 2_106_114,114,5
Day 2,Slinky pots,Day 2_106_115,115,6
Day 2,Slinky pots,Day 2_106_116,116,6
Day 2,Slinky pots,Day 2_106_117,117,12
Day 2,Slinky pots,Day 2_106_118,118,17
Day 2,Slinky pots,Day 2_106_119,119,10
Day 2,Slinky pots,Day 2_106_120,120,9
Day 2,Slinky pots,Day 2_106_121,121,1
Day 2,Slinky pots,Day 2_106_122,122,12
Day 2,Slinky pots,Day 2_106_123,123,11
Day 2,Slinky pots,Day 2_106_124,124,7
Day 2,Slinky pots,Day 2_106_125,125,6
Day 2,Slinky pots,Day 2_106_126,126,16
Day 2,Slinky pots,Day 2_106_127,127,13
Day 2,Slinky pots,Day 2_106_128,128,16
Day 2,Slinky pots,Day 2_106_129,129,10
Day 2,Slinky pots,Day 2_106_130,130,10
Day 2,Slinky pots,Day 2_106_131,131,7
Day 2,Slinky pots,Day 2_106_133,133,17
Day 2,Slinky pots,Day 2_106_134,134,10
Day 2,Slinky pots,Day 2_106_136,136,7
Day 2,Slinky pots,Day 2_106_137,137,7
Day 2,Slinky pots,Day 2_106_138,138,17
Day 2,Slinky pots,Day 2_106_139,139,20
Day 2,Slinky pots,Day 2_106_140,140,8
Day 2,Slinky pots,Day 2_106_141,141,21
Day 2,Slinky pots,Day 2_106_142,142,8
Day 2,Slinky pots,Day 2_106_143,143,13
Day 2,Slinky pots,Day 2_106_144,144,14
Day 2,Slinky pots,Day 2_106_145,145,10
Day 2,Slinky pots,Day 2_106_146,146,13
Day 2,Slinky pots,Day 2_106_147,147,1
Day 2,Slinky pots,Day 2_106_148,148,1
Day 2,Slinky pots,Day 2_106_149,149,10
Day 2,Slinky pots,Day 2_106_150,150,19
Day 2,Slinky pots,Day 2_106_151,151,6
Day 2,Slinky pots,Day 2_106_152,152,6
Day 2,Slinky pots,Day 2_106_153,153,11
Day 2,Slinky pots,Day 2_106_154,154,2
Day 2,Slinky pots,Day 2_106_155,155,14
Day 2,Slinky pots,Day 2_106_156,156,1
Day 2,Slinky pots,Day 2_106_157,157,12
Day 2,Slinky pots,Day 2_106_158,158,10
Day 2,Slinky pots,Day 2_106_159,159,8
Day 2,Slinky pots,Day 2_106_160,160,14
Day 2,Slinky pots,Day 2_106_161,161,10
Day 2,Slinky pots,Day 2_106_162,162,1
Day 2,Slinky pots,Day 2_106_163,163,6
Day 2,Slinky pots,Day 2_106_164,164,10
Day 2,Slinky pots,Day 2_106_165,165,6
Day 2,Slinky pots,Day 2_106_166,166,14
Day 2,Slinky pots,Day 2_106_167,167,10
Day 2,Slinky pots,Day 2_106_168,168,12
Day 2,Slinky pots,Day 2_106_169,169,7
Day 2,Slinky pots,Day 2_106_170,170,6
Day 2,Slinky pots,Day 2_106_171,171,11
Day 2,Slinky pots,Day 2_106_172,172,12
Day 2,Slinky pots,Day 2_106_173,173,14
Day 2,Slinky pots,Day 2_106_174,174,11
Day 2,Slinky pots,Day 2_106_175,175,10
Day 2,Slinky pots,Day 2_106_176,176,8
Day 2,Slinky pots,Day 2_106_177,177,12
Day 2,Slinky pots,Day 2_106_178,178,14
Day 2,Slinky pots,Day 2_106_179,179,8
Day 2,Slinky pots,Day 2_106_180,180,6
Day 2,Slinky pots,Day 2_106_181,181,5
Day 2,Slinky pots,Day 2_106_182,182,14
Day 2,Slinky pots,Day 2_106_183,183,7
Day 2,Slinky pots,Day 2_106_184,184,19
Day 2,Slinky pots,Day 2_106_185,185,8
Day 2,Slinky pots,Day 2_106_187,187,20
Day 2,Slinky pots,Day 2_106_188,188,7
Day 2,Slinky pots,Day 2_106_189,189,2
Day 2,Slinky pots,Day 2_106_190,190,12
Day 2,Slinky pots,Day 2_106_191,191,4
Day 2,Slinky pots,Day 2_106_194,194,9
Day 2,Slinky pots,Day 2_106_195,195,16
Day 2,Slinky pots,Day 2_106_196,196,4
Day 2,Slinky pots,Day 2_106_197,197,18
Day 2,Slinky pots,Day 2_106_198,198,5
Day 2,Slinky pots,Day 2_106_199,199,16
Day 2,Slinky pots,Day 2_106_201,201,1
Day 2,Slinky pots,Day 2_106_202,202,11
Day 2,Slinky pots,Day 2_106_203,203,8
Day 2,Slinky pots,Day 2_106_204,204,16
Day 2,Slinky pots,Day 2_106_205,205,15
Day 2,Slinky pots,Day 2_106_206,206,19
Day 2,Slinky pots,Day 2_106_207,207,0
Day 2,Slinky pots,Day 2_106_208,208,6
Day 2,Slinky pots,Day 2_106_209,209,8
Day 2,Slinky pots,Day 2_106_210,210,21
Day 2,Slinky pots,Day 2_106_91,91,5
Day 2,Slinky pots,Day 2_106_92,92,4
Day 2,Slinky pots,Day 2_106_93,93,9
Day 2,Slinky pots,Day 2_106_94,94,1
Day 2,Slinky pots,Day 2_106_95,95,5
Day 2,Slinky pots,Day 2_106_96,96,13
Day 2,Slinky pots,Day 2_106_97,97,9
Day 2,Slinky pots,Day 2_106_98,98,9
Day 2,Slinky pots,Day 2_106_99,99,15
Day 3,Hooks,Day 3_107_1,1,3
Day 3,Hooks,Day 3_107_10,10,28
Day 3,Hooks,Day 3_107_11,11,20
Day 3,Hooks,Day 3_107_12,12,14
Day 3,Hooks,Day 3_107_13,13,27
Day 3,Hooks,Day 3_107_14,14,21
Day 3,Hooks,Day 3_107_15,15,18
Day 3,Hooks,Day 3_107_16,16,19
Day 3,Hooks,Day 3_107_17,17,12
Day 3,Hooks,Day 3_107_18,18,25
Day 3,Hooks,Day 3_107_19,19,29
Day 3,Hooks,Day 3_107_2,2,7
Day 3,Hooks,Day 3_107_20,20,14
Day 3,Hooks,Day 3_107_21,21,29
Day 3,Hooks,Day 3_107_22,22,30
Day 3,Hooks,Day 3_107_23,23,21
Day 3,Hooks,Day 3_107_24,24,16
Day 3,Hooks,Day 3_107_25,25,18
Day 3,Hooks,Day 3_107_26,26,21
Day 3,Hooks,Day 3_107_27,27,16
Day 3,Hooks,Day 3_107_28,28,9
Day 3,Hooks,Day 3_107_29,29,12
Day 3,Hooks,Day 3_107_3,3,10
Day 3,Hooks,Day 3_107_30,30,8
Day 3,Hooks,Day 3_107_31,31,16
Day 3,Hooks,Day 3_107_32,32,17
Day 3,Hooks,Day 3_107_33,33,27
Day 3,Hooks,Day 3_107_34,34,17
Day 3,Hooks,Day 3_107_35,35,18
Day 3,Hooks,Day 3_107_36,36,20
Day 3,Hooks,Day 3_107_37,37,14
Day 3,Hooks,Day 3_107_38,38,18
Day 3,Hooks,Day 3_107_39,39,25
Day 3,Hooks,Day 3_107_4,4,9
Day 3,Hooks,Day 3_107_40,40,19
Day 3,Hooks,Day 3_107_41,41,15
Day 3,Hooks,Day 3_107_42,42,14
Day 3,Hooks,Day 3_107_43,43,19
Day 3,Hooks,Day 3_107_44,44,14
Day 3,Hooks,Day 3_107_45,45,17
Day 3,Hooks,Day 3_107_46,46,13
Day 3,Hooks,Day 3_107_47,47,9
Day 3,Hooks,Day 3_107_48,48,12
Day 3,Hooks,Day 3_107_49,49,15
Day 3,Hooks,Day 3_107_5,5,21
Day 3,Hooks,Day 3_107_50,50,17
Day 3,Hooks,Day 3_107_51,51,22
Day 3,Hooks,Day 3_107_52,52,21
Day 3,Hooks,Day 3_107_53,53,26
Day 3,Hooks,Day 3_107_54,54,24
Day 3,Hooks,Day 3_107_55,55,17
Day 3,Hooks,Day 3_107_56,56,24
Day 3,Hooks,Day 3_107_57,57,19
Day 3,Hooks,Day 3_107_58,58,21
Day 3,Hooks,Day 3_107_59,59,15
Day 3,Hooks,Day 3_107_6,6,25
Day 3,Hooks,Day 3_107_60,60,14
Day 3,Hooks,Day 3_107_61,61,19
Day 3,Hooks,Day 3_107_62,62,24
Day 3,Hooks,Day 3_107_63,63,22
Day 3,Hooks,Day 3_107_64,64,15
Day 3,Hooks,Day 3_107_65,65,10
Day 3,Hooks,Day 3_107_66,66,13
Day 3,Hooks,Day 3_107_67,67,18
Day 3,Hooks,Day 3_107_68,68,11
Day 3,Hooks,Day 3_107_69,69,20
Day 3,Hooks,Day 3_107_7,7,21
Day 3,Hooks,Day 3_107_70,70,11
Day 3,Hooks,Day 3_107_71,71,5
Day 3,Hooks,Day 3_107_72,72,11
Day 3,Hooks,Day 3_107_73,73,13
Day 3,Hooks,Day 3_107_74,74,6
Day 3,Hooks,Day 3_107_75,75,8
Day 3,Hooks,Day 3_107_76,76,18
Day 3,Hooks,Day 3_107_77,77,10
Day 3,Hooks,Day 3_107_78,78,9
Day 3,Hooks,Day 3_107_79,79,24
Day 3,Hooks,Day 3_107_8,8,16
Day 3,Hooks,Day 3_107_80,80,19
Day 3,Hooks,Day 3_107_81,81,17
Day 3,Hooks,Day 3_107_82,82,10
Day 3,Hooks,Day 3_107_83,83,20
Day 3,Hooks,Day 3_107_84,84,20
Day 3,Hooks,Day 3_107_85,85,10
Day 3,Hooks,Day 3_107_86,86,6
Day 3,Hooks,Day 3_107_87,87,14
Day 3,Hooks,Day 3_107_88,88,6
Day 3,Hooks,Day 3_107_89,89,25
Day 3,Hooks,Day 3_107_9,9,9
Day 3,Hooks,Day 3_107_90,90,12
Day 3,Slinky pots,Day 3_108_101,101,5
Day 3,Slinky pots,Day 3_108_102,102,5
Day 3,Slinky pots,Day 3_108_104,104,11
Day 3,Slinky pots,Day 3_108_105,105,12
Day 3,Slinky pots,Day 3_108_106,106,6
Day 3,Slinky pots,Day 3_108_107,107,5
Day 3,Slinky pots,Day 3_108_108,108,10
Day 3,Slinky pots,Day 3_108_109,109,1
Day 3,Slinky pots,Day 3_108_110,110,14
Day 3,Slinky pots,Day 3_108_111,111,15
Day 3,Slinky pots,Day 3_108_112,112,16
Day 3,Slinky pots,Day 3_108_113,113,7
Day 3,Slinky pots,Day 3_108_114,114,11
Day 3,Slinky pots,Day 3_108_115,115,11
Day 3,Slinky pots,Day 3_108_116,116,6
Day 3,Slinky pots,Day 3_108_117,117,7
Day 3,Slinky pots,Day 3_108_119,119,2
Day 3,Slinky pots,Day 3_108_120,120,8
Day 3,Slinky pots,Day 3_108_121,121,18
Day 3,Slinky pots,Day 3_108_122,122,20
Day 3,Slinky pots,Day 3_108_125,125,14
Day 3,Slinky pots,Day 3_108_126,126,18
Day 3,Slinky pots,Day 3_108_127,127,5
Day 3,Slinky pots,Day 3_108_128,128,16
Day 3,Slinky pots,Day 3_108_129,129,12
Day 3,Slinky pots,Day 3_108_130,130,10
Day 3,Slinky pots,Day 3_108_131,131,12
Day 3,Slinky pots,Day 3_108_132,132,3
Day 3,Slinky pots,Day 3_108_133,133,5
Day 3,Slinky pots,Day 3_108_134,134,10
Day 3,Slinky pots,Day 3_108_135,135,15
Day 3,Slinky pots,Day 3_108_136,136,7
Day 3,Slinky pots,Day 3_108_137,137,12
Day 3,Slinky pots,Day 3_108_138,138,16
Day 3,Slinky pots,Day 3_108_140,140,2
Day 3,Slinky pots,Day 3_108_141,141,15
Day 3,Slinky pots,Day 3_108_143,143,12
Day 3,Slinky pots,Day 3_108_144,144,6
Day 3,Slinky pots,Day 3_108_145,145,5
Day 3,Slinky pots,Day 3_108_146,146,14
Day 3,Slinky pots,Day 3_108_147,147,7
Day 3,Slinky pots,Day 3_108_148,148,11
Day 3,Slinky pots,Day 3_108_149,149,5
Day 3,Slinky pots,Day 3_108_150,150,3
Day 3,Slinky pots,Day 3_108_151,151,2
Day 3,Slinky pots,Day 3_108_152,152,5
Day 3,Slinky pots,Day 3_108_153,153,7
Day 3,Slinky pots,Day 3_108_154,154,4
Day 3,Slinky pots,Day 3_108_155,155,4
Day 3,Slinky pots,Day 3_108_156,156,5
Day 3,Slinky pots,Day 3_108_157,157,9
Day 3,Slinky pots,Day 3_108_158,158,10
Day 3,Slinky pots,Day 3_108_159,159,7
Day 3,Slinky pots,Day 3_108_160,160,3
Day 3,Slinky pots,Day 3_108_161,161,11
Day 3,Slinky pots,Day 3_108_162,162,8
Day 3,Slinky pots,Day 3_108_163,163,12
Day 3,Slinky pots,Day 3_108_164,164,6
Day 3,Slinky pots,Day 3_108_165,165,11
Day 3,Slinky pots,Day 3_108_166,166,10
Day 3,Slinky pots,Day 3_108_167,167,7
Day 3,Slinky pots,Day 3_108_170,170,13
Day 3,Slinky pots,Day 3_108_171,171,21
Day 3,Slinky pots,Day 3_108_173,173,12
Day 3,Slinky pots,Day 3_108_174,174,9
Day 3,Slinky pots,Day 3_108_175,175,9
Day 3,Slinky pots,Day 3_108_177,177,5
Day 3,Slinky pots,Day 3_108_178,178,11
Day 3,Slinky pots,Day 3_108_180,180,12
Day 3,Slinky pots,Day 3_108_181,181,9
Day 3,Slinky pots,Day 3_108_182,182,10
Day 3,Slinky pots,Day 3_108_184,184,8
Day 3,Slinky pots,Day 3_108_185,185,19
Day 3,Slinky pots,Day 3_108_186,186,8
Day 3,Slinky pots,Day 3_108_187,187,9
Day 3,Slinky pots,Day 3_108_188,188,20
Day 3,Slinky pots,Day 3_108_189,189,11
Day 3,Slinky pots,Day 3_108_190,190,10
Day 3,Slinky pots,Day 3_108_191,191,11
Day 3,Slinky pots,Day 3_108_192,192,7
Day 3,Slinky pots,Day 3_108_193,193,8
Day 3,Slinky pots,Day 3_108_194,194,5
Day 3,Slinky pots,Day 3_108_195,195,16
Day 3,Slinky pots,Day 3_108_196,196,13
Day 3,Slinky pots,Day 3_108_197,197,7
Day 3,Slinky pots,Day 3_108_199,199,9
Day 3,Slinky pots,Day 3_108_200,200,11
Day 3,Slinky pots,Day 3_108_201,201,7
Day 3,Slinky pots,Day 3_108_202,202,15
Day 3,Slinky pots,Day 3_108_204,204,1
Day 3,Slinky pots,Day 3_108_205,205,6
Day 3,Slinky pots,Day 3_108_206,206,12
Day 3,Slinky pots,Day 3_108_207,207,8
Day 3,Slinky pots,Day 3_108_209,209,8
Day 3,Slinky pots,Day 3_108_91,91,18
Day 3,Slinky pots,Day 3_108_92,92,12
Day 3,Slinky pots,Day 3_108_93,93,12
Day 3,Slinky pots,Day 3_108_94,94,0
Day 3,Slinky pots,Day 3_108_95,95,4
Day 3,Slinky pots,Day 3_108_96,96,6
Day 3,Slinky pots,Day 3_108_98,98,6
Day 3,Slinky pots,Day 3_108_99,99,2
